,review,label
0,비마트 장바구니 체크박스 모두체크되고 풀오제는게 안되어 하나씩수동해제해여되며 잘못하여 물건선택이라도하면 다시 처음부터해야됨 어이없음 주문햇던 식당및 횟수표시되면 좋겟음,1
1,모든 음식점을 종합적으로 보고싶은데 이러한 기능이 없네요 추가할 생각이 없는건가요 ,1
2,배달을 시키는데 요즘 뭐 하나계속 빼서오는군요  도대체 관리를 어따구로하길레 자꾸 이러는거에여  한번은 배달안왔는데 계속왔다고 우겨서  시간이나 싸웠네여 이렇게 안나온메뉴만 합쳐도 한  만원이상 안온거같네여 라이더든 가게든 관리좀 똑바로하세요,1
3,찜 관련해서 폴더 기능이 생겼으면 좋겠어요 항상 우리집에서만 시키는게 아니라  친정 시댁에도 배달시켜 드리고 여행지에서 시키는 경우가 많아 찜이 많은데 찜 해놓은 곳이 많아서 헷갈리기 시작하네요,1
4,앱을 사용하는데에 있어서는 좋아요 근데 제발 좀 라이더 평가하는게 있었으면 좋겠네요 매번 기분 좋게 시켜서 라이더 때문에 기분 나빠져요 물론 일이 힘든것도 알고 좋으신 분도 있는데 안 그러신 분들 때문에 피해보실거 같네요 라이더 평가 같은거 있어서 패널티를 준다던가 하면 배달받으면서 이런일이 좀 줄지 않을까 싶네요,1
5,배민 디자인 깔끔하고 여러가지로 쓰기 편해서 잘 쓰고 있어요 ㅠ다만 음식주문하기전에 리뷰를 꼭 보는데 무슨메뉴만 시킨게 나오고 무슨 맛을 시킨건지는 안나와서 보고 시키기가 애매하네요  그것까지 나오면 정말 좋을거 같아요  이외에  마트나 환경관련된 문제등 실천하는것도 정말 좋은것 같습니다 ,1
6,요근래 개월동안 배달음식 시켜먹고  번은 급성장염으로  응급실 가서 검사비 깨졌고 나머지  번은 다행히 낮이라 바로 동네병원가서 식중독장염 약처방 받았어요 한번은 너무심하게 걸려서 과장안하고 토만 번을 넘게 해서 가게에 따져서 검사비 받았지만  이젠 불안해서 못시키겠다  가게에서 위생신경쓰고 전문적으로 포장해놓으면 모를까 포장이 허술하니 문제점이 생기는건지 참고로 밥집가서 머리카락들어가도 빼서 먹는 스타일임  요리하다보면 그럴수있지  대수롭게 생각안할만큼 예민한 성격은 아닌데 이건 한번걸리면 일을 일주일가까히 쉬어야할만큼 타격 전체 리뷰,1
7,생각하면 할수록 이해가 안되는게 배달팁  뭐 그래 있다고 쳐  근데 배달료를 부담하는 시스템인데 왜 거리가 아니라 가격에 따라 바뀌는거야  그리고 내가 주고싶어서 주는게 팁이지 ㅅ새들아 이름 배달료로 바꿔 그냥,1
8,잘 쓰구 있으나    가 갈수록 구려지는 느낌 저번에 고객센터로 개선해달라고는 했는데 솔직히 쉽게 안 바뀔 듯 ㅎㅎ 글구 본인이 쓴 리뷰에 제발 스크롤좀 생겨서 쉽게 내리고 올릴 수 있는 것좀 만들어주세요 몇개월 전에 건의한건데 언제 생기나요ㅠ 제가 쓴 리뷰 내리고 올리면서 보고 삭제하고 싶은건 삭제하고 싶은데 스크롤이 없으니까 리뷰 하나 삭제하면 다시 맨 위로 올라가요 ,1
9,위치기반서비스 믿고 항상 잘 이용했는데 엉뚱한 주소로 잡혀 음식도 늦게 와서 다 식어버리고 추가 배달팁 기사님에게  원 지불하고  아  배민 위치기반서비스 때문에 피해 본건데  고객센터 직원은  가끔 오류가 납니다 그럼 공지를 하던가 아니면 위치기반서비스를 하지 말던가 ,1
10,배달팁 적은순 기능이 아무 쓸모가 없음  배달팁  이런게  원부터라고 맨위에 뜨는데  만원 이상  원 이런식이면 왜있는건지 모르겠음  최대 배달팁 적은순 기능이 나오지않으면 있으나없으나한 기능이면서 보면 짜증만남,1
